Name,Date,Priority,Status
Dakota,20-09-2021,32,Left List
Hanyuan,20-09-2021,33,Joined
Yolanda,20-09-2021,34,Joined
Levi,20-09-2021,35,Joined
Zachery,20-09-2021,36,Left List
Victoria,20-09-2021,37,Joined
Shiyan,20-09-2021,38,Joined
Nusaiba,20-09-2021,39,Joined
Abyad,20-09-2021,40,Joined
Jose,20-09-2021,41,Joined
Binyu,20-09-2021,42,Joined
Jeffrey,20-09-2021,43,Joined
Jorge,20-09-2021,44,Joined
Brandon,20-09-2021,45,Joined
Devonte,20-09-2021,46,Left List
Faadi,20-09-2021,47,Joined
Brendon,21-09-2021,1,Dropped Class
Sawhitney,21-09-2021,2,Dropped Class
Shavel,21-09-2021,3,Registered
Rene,21-09-2021,4,Registered
Toni,21-09-2021,5,Registered
Haibaa,21-09-2021,6,Registered
Shabaan,21-09-2021,7,Registered
Labeeb,21-09-2021,8,Registered
Kiah,21-09-2021,9,Registered
Nabeela,21-09-2021,10,Registered
Ambre,21-09-2021,11,Registered
Presilla,21-09-2021,12,Left List
Ryan,21-09-2021,13,Registered
Jillian,21-09-2021,14,Joined
Lubaaba,21-09-2021,15,Joined
Micah,21-09-2021,16,Joined
Cheyenne,21-09-2021,17,Joined
Lolita,21-09-2021,18,Left List
Saara,21-09-2021,19,Joined
Hannah,21-09-2021,20,Joined
Sara,21-09-2021,21,Joined
Kelsey,21-09-2021,22,Joined
Adrian,21-09-2021,23,Joined
Cody,21-09-2021,24,Joined
Marisela,21-09-2021,25,Joined
Leyvi,21-09-2021,26,Joined
Samantha,21-09-2021,27,Joined
Santos,21-09-2021,28,Left List
Hanyuan,21-09-2021,29,Joined
Yolanda,21-09-2021,30,Joined
Levi,21-09-2021,31,Joined
Zachery,21-09-2021,32,Left List
Victoria,21-09-2021,33,Joined
Shiyan,21-09-2021,34,Joined
Nusaiba,21-09-2021,35,Joined
Abyad,21-09-2021,36,Joined
Jose,21-09-2021,37,Joined
Binyu,21-09-2021,38,Joined
Jeffrey,21-09-2021,39,Joined
Jorge,21-09-2021,40,Joined
Brandon,21-09-2021,41,Joined
Devonte,21-09-2021,42,Left List
Faadi,21-09-2021,43,Joined
